"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","QGDP","TOT","PC_CHGPP","Q","1960-Q2",-0.358006,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1960-Q3",-0.361266,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1960-Q4",-0.364558,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1961-Q1",-0.352241,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1961-Q2",-0.361198,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1961-Q3",0.979254,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1961-Q4",2.389213,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1962-Q1",2.324875,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1962-Q2",2.243607,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1962-Q3",2.41455,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1962-Q4",2.573507,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1963-Q1",2.485089,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1963-Q2",2.408237,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1963-Q3",2.521478,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1963-Q4",2.621829,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1964-Q1",2.529644,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1964-Q2",2.464763,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1964-Q3",1.990518,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1964-Q4",1.526308,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1965-Q1",1.496513,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1965-Q2",1.456998,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1965-Q3",2.116985,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1965-Q4",2.775478,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1966-Q1",2.66527,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1966-Q2",2.587698,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1966-Q3",1.046336,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1966-Q4",-0.538181,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1967-Q1",-0.557784,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1967-Q2",-0.535664,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1967-Q3",-1.180128,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1967-Q4",-1.883273,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1968-Q1",-1.901361,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1968-Q2",-1.935537,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1968-Q3",-0.593857,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1968-Q4",0.852386,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1969-Q1",0.850857,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1969-Q2",0.824551,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1969-Q3",1.239113,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1969-Q4",1.662742,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1970-Q1",-2.711694,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1970-Q2",6.150969,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1970-Q3",4.817923,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1970-Q4",3.756189,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1971-Q1",2.862525,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1971-Q2",2.260076,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1971-Q3",1.832169,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1971-Q4",1.534907,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1972-Q1",1.348162,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1972-Q2",1.312889,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1972-Q3",1.398144,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1972-Q4",1.542472,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1973-Q1",1.671396,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1973-Q2",1.781959,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1973-Q3",1.918032,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1973-Q4",1.916533,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1974-Q1",1.640139,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1974-Q2",1.177278,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1974-Q3",0.526715,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1974-Q4",-0.055508,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1975-Q1",-0.274496,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1975-Q2",-0.105422,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1975-Q3",0.42665,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1975-Q4",1.094263,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1976-Q1",1.628425,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1976-Q2",1.983567,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1976-Q3",2.218361,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1976-Q4",2.318749,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1977-Q1",2.267106,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1977-Q2",2.108321,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1977-Q3",1.896655,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1977-Q4",1.64731,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1978-Q1",1.410812,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1978-Q2",1.247333,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1978-Q3",1.142055,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1978-Q4",1.091053,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1979-Q1",1.103745,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1979-Q2",1.195866,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1979-Q3",1.376404,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1979-Q4",1.525695,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1980-Q1",1.53459,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1980-Q2",1.437158,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1980-Q3",1.246395,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1980-Q4",1.053251,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1981-Q1",0.944947,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1981-Q2",0.939391,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1981-Q3",1.036373,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1981-Q4",1.048177,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1982-Q1",0.791541,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1982-Q2",0.324273,"E"
"ISL","QGDP","TOT","PC_CHGPP","Q","1982-Q3",-0.367662,"E"
